longitude,latitude,date,VV,VH,angle
-109.24636748998532,41.28881624634351,2019-06-03 01:10:24,-11.661187558995854,-19.736367591561997,36.23020553588867
-109.24636748998532,41.28881624634351,2019-06-15 01:10:24,-9.051587168958783,-16.692481742868228,36.22703170776367
-109.24636748998532,41.28881624634351,2019-06-27 01:10:25,-12.94262492656676,-19.835149432797678,36.23113250732422
-109.24636748998532,41.28881624634351,2019-07-09 01:10:26,-12.771115539074163,-19.71130674725656,36.24266052246094
-109.24636748998532,41.28881624634351,2019-07-21 01:10:27,-13.612138378836843,-20.09596800598491,36.23049545288086
-109.24636748998532,41.28881624634351,2019-08-02 01:10:27,-13.959334425862222,-21.829765855314914,36.22201919555664
-109.24636748998532,41.28881624634351,2019-08-14 01:10:28,-13.884340833991223,-21.629933007899723,36.2303581237793
-109.24636748998532,41.28881624634351,2019-08-26 01:10:29,-13.651428705367866,-21.238166382792446,36.23841094970703
-109.24636748998532,41.28881624634351,2019-09-07 01:10:29,-10.978038460151136,-18.60637156822085,36.24272537231445
-109.24636748998532,41.28881624634351,2019-09-19 01:10:30,-13.874700537171696,-21.77847801866454,36.22876739501953
-109.24636748998532,41.28881624634351,2019-10-01 01:10:30,-12.482420436015698,-20.854751103648958,36.23188781738281
-109.24636748998532,41.28881624634351,2019-10-13 01:10:30,-14.824356146143458,-23.755461668014753,36.225914001464844
-109.24636748998532,41.28881624634351,2019-10-25 01:10:30,-12.979540064295028,-21.386982379643655,36.22916793823242
-109.24636748998532,41.28881624634351,2019-11-06 01:10:30,-11.48328888275362,-20.260299546781155,36.23451232910156
-109.24636748998532,41.28881624634351,2019-11-18 01:10:30,-13.740624436650437,-22.478045586187037,36.240928649902344
-109.24636748998532,41.28881624634351,2019-11-30 01:10:30,-11.752140062450021,-19.594237126783618,36.23247146606445
-109.24636748998532,41.28881624634351,2019-12-12 01:10:29,-12.609259318634976,-20.796091836128046,36.2259635925293
-109.24636748998532,41.28881624634351,2019-12-24 01:10:29,-12.49684447062457,-20.866027008656452,36.22566604614258
-109.24636748998532,41.28881624634351,2020-01-05 01:10:28,-12.019420233046885,-20.526216819576742,36.233726501464844
-109.24636748998532,41.28881624634351,2020-01-17 01:10:28,-11.616011096852736,-20.165014043863785,36.235538482666016
-109.24636748998532,41.28881624634351,2020-01-29 01:10:27,-11.78472677989964,-20.410049061342825,36.23668670654297
-109.24636748998532,41.28881624634351,2020-02-10 01:10:27,-11.702644166041523,-20.957048843928874,36.14985656738281
-109.24636748998532,41.28881624634351,2020-02-22 01:10:27,-12.268107013862288,-21.62052465389051,36.149169921875
